SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead,Total
3304,SH000492,15.12.2019,19:30:00,124.8,11.6,250.4,0.0,386.8
3305,SH000492,15.12.2019,20:00:00,120.4,10.8,241.6,0.0,372.8
3306,SH000492,15.12.2019,20:30:00,120.0,11.2,240.8,0.0,372.0
3307,SH000492,15.12.2019,21:00:00,120.8,11.2,242.4,0.0,374.4
3308,SH000492,15.12.2019,21:30:00,120.4,12.0,242.4,0.0,374.8
3309,SH000492,15.12.2019,22:00:00,120.0,12.4,241.6,0.0,374.0
3310,SH000492,15.12.2019,22:30:00,120.4,9.2,242.4,0.0,372.0
3311,SH000492,15.12.2019,23:00:00,119.2,8.4,240.0,0.0,367.6
3312,SH000492,15.12.2019,23:30:00,118.0,8.4,236.8,0.0,363.20000000000005
3313,SH000492,16.12.2019,00:00:00,117.2,8.4,234.4,0.0,360.0
3314,SH000492,16.12.2019,00:30:00,117.2,8.8,235.2,0.0,361.2
3315,SH000492,16.12.2019,01:00:00,118.0,9.2,236.0,0.0,363.2
3316,SH000492,16.12.2019,01:30:00,114.8,8.8,230.4,0.0,354.0
3317,SH000492,16.12.2019,02:00:00,116.4,9.6,234.4,0.0,360.4
3318,SH000492,16.12.2019,02:30:00,116.0,10.0,233.6,0.0,359.6
3319,SH000492,16.12.2019,03:00:00,115.6,10.0,232.0,0.0,357.6
3320,SH000492,16.12.2019,03:30:00,114.4,10.0,229.6,0.0,354.0
3321,SH000492,16.12.2019,04:00:00,113.6,9.6,228.0,0.0,351.2
3322,SH000492,16.12.2019,04:30:00,116.0,9.6,232.0,0.0,357.6
3323,SH000492,16.12.2019,05:00:00,115.2,8.8,231.2,0.0,355.2
3324,SH000492,16.12.2019,05:30:00,114.4,8.4,229.6,0.0,352.4
3325,SH000492,16.12.2019,06:00:00,114.8,7.6,230.4,0.0,352.8
3326,SH000492,16.12.2019,06:30:00,118.4,8.0,236.8,0.0,363.20000000000005
3327,SH000492,16.12.2019,07:00:00,115.6,7.2,232.0,0.0,354.8
3328,SH000492,16.12.2019,07:30:00,114.8,6.0,231.2,0.0,352.0
3329,SH000492,16.12.2019,08:00:00,116.4,6.8,232.8,0.0,356.0
3330,SH000492,16.12.2019,08:30:00,116.4,6.4,232.8,0.0,355.6
3331,SH000492,16.12.2019,09:00:00,120.8,8.0,241.6,0.0,370.4
3332,SH000492,16.12.2019,09:30:00,122.0,9.2,244.8,0.0,376.0
3333,SH000492,16.12.2019,10:00:00,122.8,10.4,247.2,0.0,380.4
3334,SH000492,16.12.2019,10:30:00,125.2,10.8,252.0,0.0,388.0
3335,SH000492,16.12.2019,11:00:00,127.6,12.0,256.8,0.0,396.4
3336,SH000492,16.12.2019,11:30:00,129.6,12.4,260.0,0.0,402.0
3337,SH000492,16.12.2019,12:00:00,133.2,13.6,267.2,0.0,414.0
3338,SH000492,16.12.2019,12:30:00,132.8,14.4,267.2,0.0,414.4
3339,SH000492,16.12.2019,13:00:00,137.6,25.2,280.0,0.0,442.79999999999995
3340,SH000492,16.12.2019,13:30:00,140.4,23.6,285.6,0.0,449.6
3341,SH000492,16.12.2019,14:00:00,141.2,23.2,287.2,0.0,451.59999999999997
3342,SH000492,16.12.2019,14:30:00,143.6,24.8,291.2,0.0,459.6
3343,SH000492,16.12.2019,15:00:00,147.6,25.2,299.2,0.0,472.0
3344,SH000492,16.12.2019,15:30:00,134.4,22.0,272.0,0.0,428.4
3345,SH000492,16.12.2019,16:00:00,139.6,22.8,282.4,0.0,444.79999999999995
3346,SH000492,16.12.2019,16:30:00,134.8,22.0,273.6,0.0,430.40000000000003
3347,SH000492,16.12.2019,17:00:00,135.2,22.4,274.4,0.0,432.0
3348,SH000492,16.12.2019,17:30:00,132.4,21.6,269.6,0.0,423.6
3349,SH000492,16.12.2019,18:00:00,131.6,22.0,265.6,0.0,419.20000000000005
3350,SH000492,16.12.2019,18:30:00,121.6,24.8,248.8,0.8,396.00000000000006
3351,SH000492,16.12.2019,19:00:00,136.0,23.2,276.8,0.0,436.0
3352,SH000492,16.12.2019,19:30:00,117.6,27.6,242.4,0.4,388.0
3353,SH000492,16.12.2019,20:00:00,141.6,32.8,291.2,0.0,465.59999999999997
3354,SH000492,16.12.2019,20:30:00,128.4,20.4,261.6,0.0,410.40000000000003
3355,SH000492,16.12.2019,21:00:00,125.2,23.6,256.0,0.0,404.8
3356,SH000492,16.12.2019,21:30:00,129.2,22.8,263.2,0.0,415.2
3357,SH000492,16.12.2019,22:00:00,124.8,21.2,254.4,0.0,400.4
3358,SH000492,16.12.2019,22:30:00,128.8,27.6,265.6,0.0,422.0
3359,SH000492,16.12.2019,23:00:00,125.6,16.8,254.4,0.0,396.8
3360,SH000492,16.12.2019,23:30:00,124.8,23.2,256.0,0.0,404.0
3361,SH000492,17.12.2019,00:00:00,119.2,26.4,245.6,0.8,392.0
3362,SH000492,17.12.2019,00:30:00,124.0,26.8,254.4,0.0,405.20000000000005
3363,SH000492,17.12.2019,01:00:00,128.0,21.6,260.8,0.0,410.4
3364,SH000492,17.12.2019,01:30:00,122.8,16.8,248.8,0.0,388.4
3365,SH000492,17.12.2019,02:00:00,121.2,16.8,244.8,0.0,382.8
3366,SH000492,17.12.2019,02:30:00,124.0,17.6,249.6,0.0,391.2
3367,SH000492,17.12.2019,03:00:00,121.6,17.2,244.8,0.0,383.6
3368,SH000492,17.12.2019,03:30:00,121.2,17.2,244.8,0.0,383.20000000000005
3369,SH000492,17.12.2019,04:00:00,122.8,17.6,248.0,0.0,388.4
3370,SH000492,17.12.2019,04:30:00,121.6,17.2,244.8,0.0,383.6
3371,SH000492,17.12.2019,05:00:00,121.6,16.0,245.6,0.0,383.2
3372,SH000492,17.12.2019,05:30:00,123.2,15.6,248.0,0.0,386.8
3373,SH000492,17.12.2019,06:00:00,121.6,14.8,244.8,0.0,381.20000000000005
3374,SH000492,17.12.2019,06:30:00,121.6,14.8,244.8,0.0,381.20000000000005
3375,SH000492,17.12.2019,07:00:00,121.6,14.4,244.8,0.0,380.8
3376,SH000492,17.12.2019,07:30:00,122.8,15.2,248.0,0.0,386.0
3377,SH000492,17.12.2019,08:00:00,124.0,14.8,249.6,0.0,388.4
3378,SH000492,17.12.2019,08:30:00,125.2,16.0,253.6,0.0,394.79999999999995
3379,SH000492,17.12.2019,09:00:00,125.6,16.4,252.8,0.0,394.8
3380,SH000492,17.12.2019,09:30:00,124.8,21.2,254.4,0.0,400.4
3381,SH000492,17.12.2019,10:00:00,132.8,26.0,272.0,0.0,430.8
3382,SH000492,17.12.2019,10:30:00,126.4,12.4,253.6,0.0,392.4
3383,SH000492,17.12.2019,11:00:00,131.6,13.6,264.8,0.0,410.0
3384,SH000492,17.12.2019,11:30:00,130.8,13.6,263.2,0.0,407.6
3385,SH000492,17.12.2019,12:00:00,134.4,14.8,270.4,0.0,419.6
3386,SH000492,17.12.2019,12:30:00,132.4,15.2,266.4,0.0,414.0
3387,SH000492,17.12.2019,13:00:00,133.6,17.6,270.4,0.0,421.59999999999997
3388,SH000492,17.12.2019,13:30:00,133.2,16.4,268.8,0.0,418.4
3389,SH000492,17.12.2019,14:00:00,134.4,15.6,271.2,0.0,421.2
3390,SH000492,17.12.2019,14:30:00,134.4,15.6,270.4,0.0,420.4
3391,SH000492,17.12.2019,15:00:00,134.8,15.6,271.2,0.0,421.6
3392,SH000492,17.12.2019,15:30:00,133.6,15.2,269.6,0.0,418.4
3393,SH000492,17.12.2019,16:00:00,133.2,16.0,268.8,0.0,418.0
3394,SH000492,17.12.2019,16:30:00,130.8,15.6,263.2,0.0,409.6
3395,SH000492,17.12.2019,17:00:00,130.8,15.6,263.2,0.0,409.6
3396,SH000492,17.12.2019,17:30:00,127.6,14.4,256.8,0.0,398.8
3397,SH000492,17.12.2019,18:00:00,124.4,13.6,250.4,0.0,388.4
3398,SH000492,17.12.2019,18:30:00,123.6,13.2,248.8,0.0,385.6
3399,SH000492,17.12.2019,19:00:00,123.6,14.8,249.6,0.0,388.0
3400,SH000492,17.12.2019,19:30:00,121.2,14.4,244.0,0.0,379.6
3401,SH000492,17.12.2019,20:00:00,120.8,13.2,244.0,0.0,378.0
3402,SH000492,17.12.2019,20:30:00,120.8,12.4,243.2,0.0,376.4
3403,SH000492,17.12.2019,21:00:00,119.6,11.6,240.0,0.0,371.2
3404,SH000492,17.12.2019,21:30:00,121.6,12.4,244.0,0.0,378.0
3405,SH000492,17.12.2019,22:00:00,121.2,12.4,244.0,0.0,377.6
3406,SH000492,17.12.2019,22:30:00,120.8,12.0,243.2,0.0,376.0
3407,SH000492,17.12.2019,23:00:00,118.0,11.6,237.6,0.0,367.2
