SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead
884,SH000458,01.12.2019,09:30:00,350.8,40.4,706.4,0
885,SH000458,01.12.2019,10:00:00,342.4,38.4,688.8,0
886,SH000458,01.12.2019,10:30:00,348,39.6,700.8,0
887,SH000458,01.12.2019,11:00:00,345.6,39.2,696,0
888,SH000458,01.12.2019,11:30:00,344.8,38.8,693.6,0
889,SH000458,01.12.2019,12:00:00,348.8,40.8,702.4,0
890,SH000458,01.12.2019,12:30:00,346.4,40,696.8,0
891,SH000458,01.12.2019,13:00:00,347.2,41.2,700,0
892,SH000458,01.12.2019,13:30:00,348.4,41.6,702.4,0
893,SH000458,01.12.2019,14:00:00,344.8,40,694.4,0
894,SH000458,01.12.2019,14:30:00,348.8,41.2,702.4,0
895,SH000458,01.12.2019,15:00:00,345.6,40.8,696,0
896,SH000458,01.12.2019,15:30:00,344.8,40.8,694.4,0
897,SH000458,01.12.2019,16:00:00,344.4,41.6,693.6,0
898,SH000458,01.12.2019,16:30:00,340,40.8,684.8,0
899,SH000458,01.12.2019,17:00:00,345.6,42,696.8,0
900,SH000458,01.12.2019,17:30:00,342.4,40.8,689.6,0
901,SH000458,01.12.2019,18:00:00,347.2,41.2,699.2,0
902,SH000458,01.12.2019,18:30:00,343.2,40.4,691.2,0
903,SH000458,01.12.2019,19:00:00,340,40,684.8,0
904,SH000458,01.12.2019,19:30:00,344.8,41.2,694.4,0
905,SH000458,01.12.2019,20:00:00,342.8,40.4,690.4,0
906,SH000458,01.12.2019,20:30:00,346.4,41.6,698.4,0
907,SH000458,01.12.2019,21:00:00,342.8,40.4,690.4,0
908,SH000458,01.12.2019,21:30:00,344,38,692,0
909,SH000458,01.12.2019,22:00:00,345.2,38,695.2,0
910,SH000458,01.12.2019,22:30:00,340.4,36.4,684,0
911,SH000458,01.12.2019,23:00:00,343.2,37.2,691.2,0
912,SH000458,01.12.2019,23:30:00,339.2,36.4,681.6,0
913,SH000458,02.12.2019,00:00:00,340.4,37.2,684,0
914,SH000458,02.12.2019,00:30:00,342,38,688.8,0
915,SH000458,02.12.2019,01:00:00,340,38,684,0
916,SH000458,02.12.2019,01:30:00,337.6,38.4,679.2,0
917,SH000458,02.12.2019,02:00:00,335.6,38,675.2,0
918,SH000458,02.12.2019,02:30:00,336,38.4,676.8,0
919,SH000458,02.12.2019,03:00:00,338.8,39.6,682.4,0
920,SH000458,02.12.2019,03:30:00,334.4,38.4,673.6,0
921,SH000458,02.12.2019,04:00:00,338,39.2,680.8,0
922,SH000458,02.12.2019,04:30:00,333.2,38,671.2,0
923,SH000458,02.12.2019,05:00:00,334,37.2,672.8,0
924,SH000458,02.12.2019,05:30:00,338.8,37.6,680.8,0
925,SH000458,02.12.2019,06:00:00,337.2,36.8,677.6,0
926,SH000458,02.12.2019,06:30:00,338.8,37.2,682.4,0
927,SH000458,02.12.2019,07:00:00,339.2,36.4,683.2,0
928,SH000458,02.12.2019,07:30:00,342.4,37.2,689.6,0
929,SH000458,02.12.2019,08:00:00,345.2,38.4,694.4,0
930,SH000458,02.12.2019,08:30:00,344,37.6,691.2,0
931,SH000458,02.12.2019,09:00:00,346.8,38,697.6,0
932,SH000458,02.12.2019,09:30:00,348.8,38.4,702.4,0
933,SH000458,02.12.2019,10:00:00,356.8,40.8,718.4,0
934,SH000458,02.12.2019,10:30:00,356.8,40.8,718.4,0
935,SH000458,02.12.2019,11:00:00,353.2,40.4,711.2,0
936,SH000458,02.12.2019,11:30:00,358.8,41.6,722.4,0
937,SH000458,02.12.2019,12:00:00,355.2,41.2,715.2,0
938,SH000458,02.12.2019,12:30:00,356.8,41.6,718.4,0
939,SH000458,02.12.2019,13:00:00,358.4,42.8,722.4,0
940,SH000458,02.12.2019,13:30:00,354.8,41.6,714.4,0
941,SH000458,02.12.2019,14:00:00,356.4,42,718.4,0
942,SH000458,02.12.2019,14:30:00,354,40.8,712.8,0
943,SH000458,02.12.2019,15:00:00,356,42,716.8,0
944,SH000458,02.12.2019,15:30:00,356.4,42,718.4,0
945,SH000458,02.12.2019,16:00:00,353.2,41.2,711.2,0
946,SH000458,02.12.2019,16:30:00,355.6,42,716,0
947,SH000458,02.12.2019,17:00:00,351.6,41.2,708,0
948,SH000458,02.12.2019,17:30:00,351.2,41.2,707.2,0
949,SH000458,02.12.2019,18:00:00,349.6,41.2,704.8,0
950,SH000458,02.12.2019,18:30:00,350,41.2,704.8,0
951,SH000458,02.12.2019,19:00:00,350,42,705.6,0
952,SH000458,02.12.2019,19:30:00,348.4,40.4,701.6,0
953,SH000458,02.12.2019,20:00:00,350.8,40.4,706.4,0
954,SH000458,02.12.2019,20:30:00,350.4,40.4,705.6,0
955,SH000458,02.12.2019,21:00:00,348.8,39.6,702.4,0
956,SH000458,02.12.2019,21:30:00,349.6,40,704,0
957,SH000458,02.12.2019,22:00:00,346.8,38.8,696.8,0
958,SH000458,02.12.2019,22:30:00,347.2,39.2,698.4,0
959,SH000458,02.12.2019,23:00:00,347.2,39.6,698.4,0
960,SH000458,02.12.2019,23:30:00,346.8,39.6,698.4,0
961,SH000458,03.12.2019,00:00:00,347.6,40,700,0
962,SH000458,03.12.2019,00:30:00,344.4,39.6,692.8,0
963,SH000458,03.12.2019,01:00:00,342,39.2,688,0
964,SH000458,03.12.2019,01:30:00,342,40,688.8,0
965,SH000458,03.12.2019,02:00:00,342.4,40.4,689.6,0
966,SH000458,03.12.2019,02:30:00,341.6,40.8,688,0
967,SH000458,03.12.2019,03:00:00,341.2,41.2,688,0
968,SH000458,03.12.2019,03:30:00,342.4,41.6,689.6,0
969,SH000458,03.12.2019,04:00:00,340,40.4,684.8,0
970,SH000458,03.12.2019,04:30:00,341.2,40.8,687.2,0
971,SH000458,03.12.2019,05:00:00,341.6,40.4,688,0
972,SH000458,03.12.2019,05:30:00,341.2,39.6,687.2,0
973,SH000458,03.12.2019,06:00:00,342,38.8,688.8,0
974,SH000458,03.12.2019,06:30:00,343.2,38.8,691.2,0
975,SH000458,03.12.2019,07:00:00,342.8,38.4,689.6,0
976,SH000458,03.12.2019,07:30:00,345.6,39.6,696,0
977,SH000458,03.12.2019,08:00:00,344.8,38.4,693.6,0
978,SH000458,03.12.2019,08:30:00,343.2,38.8,690.4,0
979,SH000458,03.12.2019,09:00:00,345.6,38.4,695.2,0
980,SH000458,03.12.2019,09:30:00,346.8,39.6,698.4,0
981,SH000458,03.12.2019,10:00:00,346.4,38.8,697.6,0
982,SH000458,03.12.2019,10:30:00,353.2,40.8,711.2,0
983,SH000458,03.12.2019,11:00:00,350.8,40.8,707.2,0
984,SH000458,03.12.2019,11:30:00,356,41.6,716.8,0
985,SH000458,03.12.2019,12:00:00,356,42.8,716.8,0
986,SH000458,03.12.2019,12:30:00,356.4,43.6,717.6,0
987,SH000458,03.12.2019,13:00:00,358,43.6,721.6,0
988,SH000458,03.12.2019,13:30:00,350.8,40.8,707.2,0
989,SH000458,03.12.2019,14:00:00,356,41.6,716.8,0
990,SH000458,03.12.2019,14:30:00,355.2,41.2,715.2,0
991,SH000458,03.12.2019,15:00:00,357.2,41.2,718.4,0
992,SH000458,03.12.2019,15:30:00,355.2,40.4,714.4,0
993,SH000458,03.12.2019,16:00:00,353.6,40.4,712,0
994,SH000458,03.12.2019,16:30:00,356.8,41.2,718.4,0
995,SH000458,03.12.2019,17:00:00,351.6,40,707.2,0
996,SH000458,03.12.2019,17:30:00,352.4,40.8,709.6,0
997,SH000458,03.12.2019,18:00:00,351.6,40,707.2,0
998,SH000458,03.12.2019,18:30:00,349.6,40,704,0
999,SH000458,03.12.2019,19:00:00,347.6,39.6,700,0
1000,SH000458,03.12.2019,19:30:00,346,39.6,696.8,0
1001,SH000458,03.12.2019,20:00:00,348.8,40.4,702.4,0
1002,SH000458,03.12.2019,20:30:00,345.6,39.2,696,0
1003,SH000458,03.12.2019,21:00:00,348.4,40,701.6,0
1004,SH000458,03.12.2019,21:30:00,349.2,40.8,703.2,0
1005,SH000458,03.12.2019,22:00:00,346,39.6,696.8,0
1006,SH000458,03.12.2019,22:30:00,349.6,40.8,703.2,0
1007,SH000458,03.12.2019,23:00:00,345.6,40.4,696,0
1008,SH000458,03.12.2019,23:30:00,344.4,40,693.6,0
1009,SH000458,04.12.2019,00:00:00,343.6,38.8,692,0
1010,SH000458,04.12.2019,00:30:00,344,39.2,692,0
1011,SH000458,04.12.2019,01:00:00,342.4,39.2,688,0
1012,SH000458,04.12.2019,01:30:00,341.6,39.6,687.2,0
1013,SH000458,04.12.2019,02:00:00,342.8,40.4,690.4,0
1014,SH000458,04.12.2019,02:30:00,339.2,40,684,0
1015,SH000458,04.12.2019,03:00:00,340.4,40.4,685.6,0
1016,SH000458,04.12.2019,03:30:00,338.8,40,683.2,0
1017,SH000458,04.12.2019,04:00:00,338.8,40.8,682.4,0
1018,SH000458,04.12.2019,04:30:00,340,40.8,684.8,0
1019,SH000458,04.12.2019,05:00:00,340.4,40.4,685.6,0
1020,SH000458,04.12.2019,05:30:00,339.6,38.8,683.2,0
1021,SH000458,04.12.2019,06:00:00,341.6,38.8,688,0
1022,SH000458,04.12.2019,06:30:00,340.4,37.6,684.8,0
1023,SH000458,04.12.2019,07:00:00,342.8,38,688.8,0
1024,SH000458,04.12.2019,07:30:00,344,38,692,0
1025,SH000458,04.12.2019,08:00:00,343.6,38.4,691.2,0
1026,SH000458,04.12.2019,08:30:00,345.2,38,695.2,0
1027,SH000458,04.12.2019,09:00:00,344.4,38,693.6,0
1028,SH000458,04.12.2019,09:30:00,349.6,39.6,703.2,0
1029,SH000458,04.12.2019,10:00:00,345.6,39.6,696,0
1030,SH000458,04.12.2019,10:30:00,346,39.6,696,0
1031,SH000458,04.12.2019,11:00:00,348,40.8,701.6,0
1032,SH000458,04.12.2019,11:30:00,344.4,40.4,693.6,0
1033,SH000458,04.12.2019,12:00:00,349.2,42.4,703.2,0
1034,SH000458,04.12.2019,12:30:00,350.4,43.6,706.4,0
1035,SH000458,04.12.2019,13:00:00,349.6,41.2,704,0
1036,SH000458,04.12.2019,13:30:00,350,40.4,704,0
1037,SH000458,04.12.2019,14:00:00,351.6,40.4,708,0
1038,SH000458,04.12.2019,14:30:00,350.4,39.6,705.6,0
1039,SH000458,04.12.2019,15:00:00,358.8,41.6,722.4,0
1040,SH000458,04.12.2019,15:30:00,353.2,40.8,711.2,0
1041,SH000458,04.12.2019,16:00:00,356.4,41.6,717.6,0
1042,SH000458,04.12.2019,16:30:00,359.6,42.4,724.8,0
1043,SH000458,04.12.2019,17:00:00,354.8,40.8,715.2,0
1044,SH000458,04.12.2019,17:30:00,348.4,40,701.6,0
1045,SH000458,04.12.2019,18:00:00,349.6,40,704,0
1046,SH000458,04.12.2019,18:30:00,348,40,700.8,0
1047,SH000458,04.12.2019,19:00:00,350.8,41.2,707.2,0
1048,SH000458,04.12.2019,19:30:00,350,41.6,704.8,0
1049,SH000458,04.12.2019,20:00:00,349.6,42,704.8,0
1050,SH000458,04.12.2019,20:30:00,348.8,42.4,703.2,0
1051,SH000458,04.12.2019,21:00:00,346,40.8,697.6,0
1052,SH000458,04.12.2019,21:30:00,352,42.8,709.6,0
1053,SH000458,04.12.2019,22:00:00,350,41.2,704.8,0
1054,SH000458,04.12.2019,22:30:00,352,42,708.8,0
1055,SH000458,04.12.2019,23:00:00,352.8,41.6,710.4,0
1056,SH000458,04.12.2019,23:30:00,350.8,40,706.4,0
1057,SH000458,05.12.2019,00:00:00,350.4,40.4,705.6,0
1058,SH000458,05.12.2019,00:30:00,349.2,40.4,703.2,0
1059,SH000458,05.12.2019,01:00:00,347.6,40,700,0
1060,SH000458,05.12.2019,01:30:00,346.8,40.8,698.4,0
1061,SH000458,05.12.2019,02:00:00,345.2,40.4,695.2,0
1062,SH000458,05.12.2019,02:30:00,347.6,42,700,0
1063,SH000458,05.12.2019,03:00:00,343.6,40.8,692,0
1064,SH000458,05.12.2019,03:30:00,349.2,42.8,704.8,0
1065,SH000458,05.12.2019,04:00:00,346,42,696.8,0
1066,SH000458,05.12.2019,04:30:00,345.2,41.2,696.8,0
1067,SH000458,05.12.2019,05:00:00,346.4,41.2,697.6,0
1068,SH000458,05.12.2019,05:30:00,346.4,40,698.4,0
1069,SH000458,05.12.2019,06:00:00,344.4,38.8,693.6,0
1070,SH000458,05.12.2019,06:30:00,346,39.2,696.8,0
1071,SH000458,05.12.2019,07:00:00,345.6,38,695.2,0
1072,SH000458,05.12.2019,07:30:00,345.2,37.6,694.4,0
1073,SH000458,05.12.2019,08:00:00,347.2,37.2,698.4,0
1074,SH000458,05.12.2019,08:30:00,350,37.6,704,0
1075,SH000458,05.12.2019,09:00:00,346.8,37.2,697.6,0
1076,SH000458,05.12.2019,09:30:00,347.6,38,700,0
1077,SH000458,05.12.2019,10:00:00,356,40.4,716.8,0
1078,SH000458,05.12.2019,10:30:00,354.8,39.6,713.6,0
1079,SH000458,05.12.2019,11:00:00,356.8,40.8,718.4,0
1080,SH000458,05.12.2019,11:30:00,353.6,39.6,712,0
1081,SH000458,05.12.2019,12:00:00,356.8,40.8,718.4,0
1082,SH000458,05.12.2019,12:30:00,360.4,42.8,727.2,0
1083,SH000458,05.12.2019,13:00:00,356.4,43.2,717.6,0
1084,SH000458,05.12.2019,13:30:00,361.6,43.6,728.8,0
1085,SH000458,05.12.2019,14:00:00,358.8,42.4,722.4,0
1086,SH000458,05.12.2019,14:30:00,361.2,42.4,728,0
1087,SH000458,05.12.2019,15:00:00,360.8,42.4,726.4,0
1088,SH000458,05.12.2019,15:30:00,359.6,42,724,0
1089,SH000458,05.12.2019,16:00:00,360.4,42.8,725.6,0
1090,SH000458,05.12.2019,16:30:00,358,42.4,721.6,0
1091,SH000458,05.12.2019,17:00:00,358,42.4,720.8,0
1092,SH000458,05.12.2019,17:30:00,357.2,42.4,719.2,0
1093,SH000458,05.12.2019,18:00:00,356.4,42,717.6,0
1094,SH000458,05.12.2019,18:30:00,356.4,42.4,717.6,0
1095,SH000458,05.12.2019,19:00:00,358.4,44.4,723.2,0
1096,SH000458,05.12.2019,19:30:00,355.2,43.2,715.2,0
1097,SH000458,05.12.2019,20:00:00,358,44,721.6,0
1098,SH000458,05.12.2019,20:30:00,354,43.2,714.4,0
1099,SH000458,05.12.2019,21:00:00,356.4,44.4,717.6,0
1100,SH000458,05.12.2019,21:30:00,354.4,44.8,715.2,0
1101,SH000458,05.12.2019,22:00:00,358.8,45.6,723.2,0
1102,SH000458,05.12.2019,22:30:00,356.8,42.4,719.2,0
1103,SH000458,05.12.2019,23:00:00,355.6,42,716.8,0
1104,SH000458,05.12.2019,23:30:00,351.6,40.4,708,0
1105,SH000458,06.12.2019,00:00:00,356.4,41.6,717.6,0
1106,SH000458,06.12.2019,00:30:00,353.2,42,712,0
1107,SH000458,06.12.2019,01:00:00,349.2,40.8,704,0
1108,SH000458,06.12.2019,01:30:00,350.8,42,706.4,0
1109,SH000458,06.12.2019,02:00:00,348.8,42,702.4,0
1110,SH000458,06.12.2019,02:30:00,349.6,42.8,704,0
1111,SH000458,06.12.2019,03:00:00,348.4,42.8,702.4,0
1112,SH000458,06.12.2019,03:30:00,348.4,42.4,701.6,0
1113,SH000458,06.12.2019,04:00:00,353.6,44.4,712.8,0
1114,SH000458,06.12.2019,04:30:00,345.2,41.6,695.2,0
1115,SH000458,06.12.2019,05:00:00,347.2,41.6,699.2,0
1116,SH000458,06.12.2019,05:30:00,350.8,41.6,706.4,0
1117,SH000458,06.12.2019,06:00:00,348.4,40,701.6,0
1118,SH000458,06.12.2019,06:30:00,352.8,41.2,710.4,0
1119,SH000458,06.12.2019,07:00:00,349.2,39.6,703.2,0
1120,SH000458,06.12.2019,07:30:00,351.2,39.2,707.2,0
1121,SH000458,06.12.2019,08:00:00,352.4,40.8,709.6,0
1122,SH000458,06.12.2019,08:30:00,354.4,39.6,712.8,0
1123,SH000458,06.12.2019,09:00:00,354.4,40.8,713.6,0
1124,SH000458,06.12.2019,09:30:00,351.2,39.6,707.2,0
1125,SH000458,06.12.2019,10:00:00,352.4,40,709.6,0
1126,SH000458,06.12.2019,10:30:00,351.6,40.4,708,0
1127,SH000458,06.12.2019,11:00:00,351.6,40.4,708.8,0
1128,SH000458,06.12.2019,11:30:00,355.2,41.6,716,0
1129,SH000458,06.12.2019,12:00:00,356.4,42.4,717.6,0
1130,SH000458,06.12.2019,12:30:00,354.4,42.4,713.6,0
1131,SH000458,06.12.2019,13:00:00,355.2,43.6,715.2,0
1132,SH000458,06.12.2019,13:30:00,355.6,43.2,716,0
1133,SH000458,06.12.2019,14:00:00,358,43.6,721.6,0
1134,SH000458,06.12.2019,14:30:00,353.6,42.4,712,0
1135,SH000458,06.12.2019,15:00:00,355.6,43.2,716,0
1136,SH000458,06.12.2019,15:30:00,357.6,43.6,720.8,0
1137,SH000458,06.12.2019,16:00:00,355.6,43.2,716.8,0
1138,SH000458,06.12.2019,16:30:00,355.6,42.8,716.8,0
1139,SH000458,06.12.2019,17:00:00,352,41.6,708.8,0
1140,SH000458,06.12.2019,17:30:00,352.8,41.6,710.4,0
1141,SH000458,06.12.2019,18:00:00,350.8,40.8,706.4,0
1142,SH000458,06.12.2019,18:30:00,351.6,41.2,708,0
1143,SH000458,06.12.2019,19:00:00,351.2,42,707.2,0
1144,SH000458,06.12.2019,19:30:00,351.2,42.4,707.2,0
1145,SH000458,06.12.2019,20:00:00,350.8,41.6,705.6,0
1146,SH000458,06.12.2019,20:30:00,350.8,40,706.4,0
1147,SH000458,06.12.2019,21:00:00,352,40.8,708.8,0
1148,SH000458,06.12.2019,21:30:00,349.6,40.8,704,0
1149,SH000458,06.12.2019,22:00:00,349.2,40.4,704,0
1150,SH000458,06.12.2019,22:30:00,347.6,40,700,0
1151,SH000458,06.12.2019,23:00:00,348.4,38.8,700.8,0
1152,SH000458,06.12.2019,23:30:00,349.2,40,703.2,0
1153,SH000458,07.12.2019,00:00:00,345.6,38,696,0
1154,SH000458,07.12.2019,00:30:00,347.2,38.8,698.4,0
1155,SH000458,07.12.2019,01:00:00,344.4,38.8,693.6,0
1156,SH000458,07.12.2019,01:30:00,344.4,38.8,693.6,0
1157,SH000458,07.12.2019,02:00:00,342.8,38.8,689.6,0
1158,SH000458,07.12.2019,02:30:00,342.8,38.4,689.6,0
1159,SH000458,07.12.2019,03:00:00,341.6,38.8,687.2,0
1160,SH000458,07.12.2019,03:30:00,341.2,38.4,687.2,0
1161,SH000458,07.12.2019,04:00:00,342.4,39.2,689.6,0
1162,SH000458,07.12.2019,04:30:00,342.4,38.8,689.6,0
1163,SH000458,07.12.2019,05:00:00,339.6,37.6,683.2,0
1164,SH000458,07.12.2019,05:30:00,344,38,692,0
1165,SH000458,07.12.2019,06:00:00,341.2,36.8,687.2,0
1166,SH000458,07.12.2019,06:30:00,342.4,37.2,688.8,0
1167,SH000458,07.12.2019,07:00:00,344.4,37.6,692.8,0
1168,SH000458,07.12.2019,07:30:00,343.6,36.4,692,0
1169,SH000458,07.12.2019,08:00:00,344.8,36.8,692.8,0
1170,SH000458,07.12.2019,08:30:00,347.6,38.4,700,0
1171,SH000458,07.12.2019,09:00:00,346.4,38,697.6,0
1172,SH000458,07.12.2019,09:30:00,347.6,37.6,700,0
1173,SH000458,07.12.2019,10:00:00,354.8,40,714.4,0
1174,SH000458,07.12.2019,10:30:00,354.8,40.4,714.4,0
1175,SH000458,07.12.2019,11:00:00,358.4,42.4,721.6,0
1176,SH000458,07.12.2019,11:30:00,357.2,42,719.2,0
1177,SH000458,07.12.2019,12:00:00,358.8,42.8,723.2,0
1178,SH000458,07.12.2019,12:30:00,361.2,44.8,728,0
1179,SH000458,07.12.2019,13:00:00,359.6,46,724.8,0
1180,SH000458,07.12.2019,13:30:00,363.2,46.4,732,0
1181,SH000458,07.12.2019,14:00:00,359.6,44.4,724,0
1182,SH000458,07.12.2019,14:30:00,360.8,44.4,727.2,0
1183,SH000458,07.12.2019,15:00:00,359.6,44,724.8,0
1184,SH000458,07.12.2019,15:30:00,360.8,44.8,728,0
1185,SH000458,07.12.2019,16:00:00,360.4,44.8,725.6,0
1186,SH000458,07.12.2019,16:30:00,357.2,44.8,720.8,0
1187,SH000458,07.12.2019,17:00:00,358.4,45.6,722.4,0
1188,SH000458,07.12.2019,17:30:00,354.8,44.4,714.4,0
1189,SH000458,07.12.2019,18:00:00,356,44.8,718.4,0
1190,SH000458,07.12.2019,18:30:00,354.4,44.8,713.6,0
1191,SH000458,07.12.2019,19:00:00,355.2,45.2,715.2,0
1192,SH000458,07.12.2019,19:30:00,355.2,44,715.2,0
1193,SH000458,07.12.2019,20:00:00,354,42,713.6,0
1194,SH000458,07.12.2019,20:30:00,356,43.2,716.8,0
1195,SH000458,07.12.2019,21:00:00,355.2,43.6,715.2,0
1196,SH000458,07.12.2019,21:30:00,353.6,42.4,712,0
1197,SH000458,07.12.2019,22:00:00,354.8,42.4,715.2,0
1198,SH000458,07.12.2019,22:30:00,353.2,41.6,711.2,0
1199,SH000458,07.12.2019,23:00:00,353.2,41.2,711.2,0
1200,SH000458,07.12.2019,23:30:00,351.2,41.2,707.2,0
1201,SH000458,08.12.2019,00:00:00,350.8,40.8,706.4,0
1202,SH000458,08.12.2019,00:30:00,351.2,41.6,707.2,0
1203,SH000458,08.12.2019,01:00:00,351.6,42,708.8,0
1204,SH000458,08.12.2019,01:30:00,349.2,41.6,703.2,0
1205,SH000458,08.12.2019,02:00:00,347.6,41.6,700,0
1206,SH000458,08.12.2019,02:30:00,348,41.6,701.6,0
1207,SH000458,08.12.2019,03:00:00,348,42.4,701.6,0
1208,SH000458,08.12.2019,03:30:00,347.6,42,700,0
1209,SH000458,08.12.2019,04:00:00,348.4,43.2,702.4,0
1210,SH000458,08.12.2019,04:30:00,346.8,42.4,698.4,0
1211,SH000458,08.12.2019,05:00:00,346,41.2,696.8,0
1212,SH000458,08.12.2019,05:30:00,350,41.6,704.8,0
1213,SH000458,08.12.2019,06:00:00,346,40.4,696.8,0
1214,SH000458,08.12.2019,06:30:00,349.6,41.2,704,0
1215,SH000458,08.12.2019,07:00:00,349.2,40.8,703.2,0
1216,SH000458,08.12.2019,07:30:00,349.2,40.4,703.2,0
1217,SH000458,08.12.2019,08:00:00,350.4,40.4,705.6,0
1218,SH000458,08.12.2019,08:30:00,348.8,39.6,702.4,0
1219,SH000458,08.12.2019,09:00:00,352.4,40.4,709.6,0
1220,SH000458,08.12.2019,09:30:00,351.6,39.6,707.2,0
1221,SH000458,08.12.2019,10:00:00,349.2,38.8,703.2,0
1222,SH000458,08.12.2019,10:30:00,352.4,39.6,708.8,0
1223,SH000458,08.12.2019,11:00:00,349.2,38.4,702.4,0
1224,SH000458,08.12.2019,11:30:00,353.2,39.6,709.6,0
1225,SH000458,08.12.2019,12:00:00,350.8,39.2,706.4,0
1226,SH000458,08.12.2019,12:30:00,353.6,40,712,0
1227,SH000458,08.12.2019,13:00:00,355.2,41.2,715.2,0
1228,SH000458,08.12.2019,13:30:00,355.6,40.8,716,0
1229,SH000458,08.12.2019,14:00:00,352.8,40,710.4,0
1230,SH000458,08.12.2019,14:30:00,356,40.8,716.8,0
1231,SH000458,08.12.2019,15:00:00,357.2,41.6,719.2,0
1232,SH000458,08.12.2019,15:30:00,358.4,42,721.6,0
1233,SH000458,08.12.2019,16:00:00,354,41.2,712.8,0
1234,SH000458,08.12.2019,16:30:00,352.4,40.8,709.6,0
1235,SH000458,08.12.2019,17:00:00,352.8,40.8,710.4,0
1236,SH000458,08.12.2019,17:30:00,352.4,40.4,709.6,0
1237,SH000458,08.12.2019,18:00:00,351.2,39.6,706.4,0
1238,SH000458,08.12.2019,18:30:00,349.2,39.6,703.2,0
1239,SH000458,08.12.2019,19:00:00,348.4,38.4,700.8,0
1240,SH000458,08.12.2019,19:30:00,350.4,39.6,705.6,0
1241,SH000458,08.12.2019,20:00:00,348.8,39.2,701.6,0
1242,SH000458,08.12.2019,20:30:00,348.4,38.8,701.6,0
1243,SH000458,08.12.2019,21:00:00,350.8,40,706.4,0
1244,SH000458,08.12.2019,21:30:00,348.4,39.2,700.8,0
1245,SH000458,08.12.2019,22:00:00,350,39.6,704.8,0
1246,SH000458,08.12.2019,22:30:00,350.4,39.2,705.6,0
1247,SH000458,08.12.2019,23:00:00,348.8,39.2,702.4,0
1248,SH000458,08.12.2019,23:30:00,346.4,39.2,697.6,0
1249,SH000458,09.12.2019,00:00:00,348.8,40.4,702.4,0
1250,SH000458,09.12.2019,00:30:00,344.8,39.6,694.4,0
1251,SH000458,09.12.2019,01:00:00,344.8,40.8,694.4,0
1252,SH000458,09.12.2019,01:30:00,344,40.8,692.8,0
1253,SH000458,09.12.2019,02:00:00,344.4,42,694.4,0
1254,SH000458,09.12.2019,02:30:00,343.6,42,692,0
1255,SH000458,09.12.2019,03:00:00,343.2,42.4,692,0
1256,SH000458,09.12.2019,03:30:00,342.8,42,691.2,0
1257,SH000458,09.12.2019,04:00:00,340,42,686.4,0
1258,SH000458,09.12.2019,04:30:00,341.6,41.6,688.8,0
1259,SH000458,09.12.2019,05:00:00,345.2,42,696.8,0
1260,SH000458,09.12.2019,05:30:00,343.2,40,691.2,0
1261,SH000458,09.12.2019,06:00:00,342,39.6,688.8,0
1262,SH000458,09.12.2019,06:30:00,345.2,40,695.2,0
1263,SH000458,09.12.2019,07:00:00,343.2,38,691.2,0
1264,SH000458,09.12.2019,07:30:00,346,38.4,696.8,0
1265,SH000458,09.12.2019,08:00:00,344.8,38.4,694.4,0
1266,SH000458,09.12.2019,08:30:00,347.6,38.4,700,0
1267,SH000458,09.12.2019,09:00:00,348.8,39.6,702.4,0
1268,SH000458,09.12.2019,09:30:00,349.6,39.6,704,0
1269,SH000458,09.12.2019,10:00:00,357.6,42.4,720,0
1270,SH000458,09.12.2019,10:30:00,357.2,43.6,720,0
1271,SH000458,09.12.2019,11:00:00,359.6,44,725.6,0
1272,SH000458,09.12.2019,11:30:00,349.2,37.6,703.2,0
1273,SH000458,09.12.2019,12:00:00,364,45.6,734.4,0
1274,SH000458,09.12.2019,12:30:00,360.8,45.6,727.2,0
1275,SH000458,09.12.2019,13:00:00,357.6,43.6,721.6,0
1276,SH000458,09.12.2019,13:30:00,364.8,45.2,735.2,0
1277,SH000458,09.12.2019,14:00:00,358.8,42.4,722.4,0
1278,SH000458,09.12.2019,14:30:00,363.6,43.6,732,0
1279,SH000458,09.12.2019,15:00:00,362.8,43.2,731.2,0
1280,SH000458,09.12.2019,15:30:00,364,43.6,733.6,0
1281,SH000458,09.12.2019,16:00:00,364.4,43.6,733.6,0
1282,SH000458,09.12.2019,16:30:00,361.2,43.6,728.8,0
1283,SH000458,09.12.2019,17:00:00,359.2,43.2,723.2,0
1284,SH000458,09.12.2019,17:30:00,360,43.6,724.8,0
1285,SH000458,09.12.2019,18:00:00,358.4,43.2,723.2,0
1286,SH000458,09.12.2019,18:30:00,354.8,42.8,716,0
1287,SH000458,09.12.2019,19:00:00,358.4,44,721.6,0
1288,SH000458,09.12.2019,19:30:00,353.6,42,712,0
1289,SH000458,09.12.2019,20:00:00,358.8,43.2,722.4,0
1290,SH000458,09.12.2019,20:30:00,351.6,41.2,708,0
1291,SH000458,09.12.2019,21:00:00,357.6,43.2,720.8,0
1292,SH000458,09.12.2019,21:30:00,353.6,42.4,712,0
1293,SH000458,09.12.2019,22:00:00,356.8,42.8,718.4,0
1294,SH000458,09.12.2019,22:30:00,355.6,42.4,716,0
1295,SH000458,09.12.2019,23:00:00,353.2,41.6,712,0
1296,SH000458,09.12.2019,23:30:00,355.6,42.8,716,0
1297,SH000458,10.12.2019,00:00:00,351.2,41.6,707.2,0
1298,SH000458,10.12.2019,00:30:00,350.8,40.8,705.6,0
