SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead,Total
865,SH000458,01.12.2019,00:00:00,345.6,41.2,696.0,0.0,1082.8
866,SH000458,01.12.2019,00:30:00,346.4,39.6,697.6,0.0,1083.6
867,SH000458,01.12.2019,01:00:00,342.8,38.4,689.6,0.0,1070.8
868,SH000458,01.12.2019,01:30:00,344.4,38.8,693.6,0.0,1076.8
869,SH000458,01.12.2019,02:00:00,342.4,38.8,688.0,0.0,1069.2
870,SH000458,01.12.2019,02:30:00,342.0,38.8,688.8,0.0,1069.6
871,SH000458,01.12.2019,03:00:00,342.0,39.2,688.8,0.0,1070.0
872,SH000458,01.12.2019,03:30:00,341.2,38.8,687.2,0.0,1067.2
873,SH000458,01.12.2019,04:00:00,342.0,39.6,688.8,0.0,1070.4
874,SH000458,01.12.2019,04:30:00,340.8,38.8,686.4,0.0,1066.0
875,SH000458,01.12.2019,05:00:00,340.4,38.4,685.6,0.0,1064.4
876,SH000458,01.12.2019,05:30:00,341.6,38.4,687.2,0.0,1067.2
877,SH000458,01.12.2019,06:00:00,342.0,38.4,688.0,0.0,1068.4
878,SH000458,01.12.2019,06:30:00,340.4,38.0,684.8,0.0,1063.1999999999998
879,SH000458,01.12.2019,07:00:00,342.0,38.4,688.8,0.0,1069.1999999999998
880,SH000458,01.12.2019,07:30:00,349.6,40.4,704.0,0.0,1094.0
881,SH000458,01.12.2019,08:00:00,350.0,39.2,704.8,0.0,1094.0
882,SH000458,01.12.2019,08:30:00,353.2,42.4,711.2,0.0,1106.8
883,SH000458,01.12.2019,09:00:00,349.6,41.2,704.0,0.0,1094.8
884,SH000458,01.12.2019,09:30:00,350.8,40.4,706.4,0.0,1097.6
885,SH000458,01.12.2019,10:00:00,342.4,38.4,688.8,0.0,1069.6
886,SH000458,01.12.2019,10:30:00,348.0,39.6,700.8,0.0,1088.4
887,SH000458,01.12.2019,11:00:00,345.6,39.2,696.0,0.0,1080.8
888,SH000458,01.12.2019,11:30:00,344.8,38.8,693.6,0.0,1077.2
889,SH000458,01.12.2019,12:00:00,348.8,40.8,702.4,0.0,1092.0
890,SH000458,01.12.2019,12:30:00,346.4,40.0,696.8,0.0,1083.1999999999998
891,SH000458,01.12.2019,13:00:00,347.2,41.2,700.0,0.0,1088.4
892,SH000458,01.12.2019,13:30:00,348.4,41.6,702.4,0.0,1092.4
893,SH000458,01.12.2019,14:00:00,344.8,40.0,694.4,0.0,1079.2
894,SH000458,01.12.2019,14:30:00,348.8,41.2,702.4,0.0,1092.4
895,SH000458,01.12.2019,15:00:00,345.6,40.8,696.0,0.0,1082.4
896,SH000458,01.12.2019,15:30:00,344.8,40.8,694.4,0.0,1080.0
897,SH000458,01.12.2019,16:00:00,344.4,41.6,693.6,0.0,1079.6
898,SH000458,01.12.2019,16:30:00,340.0,40.8,684.8,0.0,1065.6
899,SH000458,01.12.2019,17:00:00,345.6,42.0,696.8,0.0,1084.4
900,SH000458,01.12.2019,17:30:00,342.4,40.8,689.6,0.0,1072.8
901,SH000458,01.12.2019,18:00:00,347.2,41.2,699.2,0.0,1087.6
902,SH000458,01.12.2019,18:30:00,343.2,40.4,691.2,0.0,1074.8
903,SH000458,01.12.2019,19:00:00,340.0,40.0,684.8,0.0,1064.8
904,SH000458,01.12.2019,19:30:00,344.8,41.2,694.4,0.0,1080.4
905,SH000458,01.12.2019,20:00:00,342.8,40.4,690.4,0.0,1073.6
906,SH000458,01.12.2019,20:30:00,346.4,41.6,698.4,0.0,1086.4
907,SH000458,01.12.2019,21:00:00,342.8,40.4,690.4,0.0,1073.6
908,SH000458,01.12.2019,21:30:00,344.0,38.0,692.0,0.0,1074.0
909,SH000458,01.12.2019,22:00:00,345.2,38.0,695.2,0.0,1078.4
910,SH000458,01.12.2019,22:30:00,340.4,36.4,684.0,0.0,1060.8
911,SH000458,01.12.2019,23:00:00,343.2,37.2,691.2,0.0,1071.6
912,SH000458,01.12.2019,23:30:00,339.2,36.4,681.6,0.0,1057.2
913,SH000458,02.12.2019,00:00:00,340.4,37.2,684.0,0.0,1061.6
914,SH000458,02.12.2019,00:30:00,342.0,38.0,688.8,0.0,1068.8
915,SH000458,02.12.2019,01:00:00,340.0,38.0,684.0,0.0,1062.0
916,SH000458,02.12.2019,01:30:00,337.6,38.4,679.2,0.0,1055.2
917,SH000458,02.12.2019,02:00:00,335.6,38.0,675.2,0.0,1048.8000000000002
918,SH000458,02.12.2019,02:30:00,336.0,38.4,676.8,0.0,1051.1999999999998
919,SH000458,02.12.2019,03:00:00,338.8,39.6,682.4,0.0,1060.8
920,SH000458,02.12.2019,03:30:00,334.4,38.4,673.6,0.0,1046.4
921,SH000458,02.12.2019,04:00:00,338.0,39.2,680.8,0.0,1058.0
922,SH000458,02.12.2019,04:30:00,333.2,38.0,671.2,0.0,1042.4
923,SH000458,02.12.2019,05:00:00,334.0,37.2,672.8,0.0,1044.0
924,SH000458,02.12.2019,05:30:00,338.8,37.6,680.8,0.0,1057.2
925,SH000458,02.12.2019,06:00:00,337.2,36.8,677.6,0.0,1051.6
926,SH000458,02.12.2019,06:30:00,338.8,37.2,682.4,0.0,1058.4
927,SH000458,02.12.2019,07:00:00,339.2,36.4,683.2,0.0,1058.8
928,SH000458,02.12.2019,07:30:00,342.4,37.2,689.6,0.0,1069.2
929,SH000458,02.12.2019,08:00:00,345.2,38.4,694.4,0.0,1078.0
930,SH000458,02.12.2019,08:30:00,344.0,37.6,691.2,0.0,1072.8000000000002
931,SH000458,02.12.2019,09:00:00,346.8,38.0,697.6,0.0,1082.4
932,SH000458,02.12.2019,09:30:00,348.8,38.4,702.4,0.0,1089.6
933,SH000458,02.12.2019,10:00:00,356.8,40.8,718.4,0.0,1116.0
934,SH000458,02.12.2019,10:30:00,356.8,40.8,718.4,0.0,1116.0
935,SH000458,02.12.2019,11:00:00,353.2,40.4,711.2,0.0,1104.8
936,SH000458,02.12.2019,11:30:00,358.8,41.6,722.4,0.0,1122.8
937,SH000458,02.12.2019,12:00:00,355.2,41.2,715.2,0.0,1111.6
938,SH000458,02.12.2019,12:30:00,356.8,41.6,718.4,0.0,1116.8
939,SH000458,02.12.2019,13:00:00,358.4,42.8,722.4,0.0,1123.6
940,SH000458,02.12.2019,13:30:00,354.8,41.6,714.4,0.0,1110.8
941,SH000458,02.12.2019,14:00:00,356.4,42.0,718.4,0.0,1116.8
942,SH000458,02.12.2019,14:30:00,354.0,40.8,712.8,0.0,1107.6
943,SH000458,02.12.2019,15:00:00,356.0,42.0,716.8,0.0,1114.8
944,SH000458,02.12.2019,15:30:00,356.4,42.0,718.4,0.0,1116.8
945,SH000458,02.12.2019,16:00:00,353.2,41.2,711.2,0.0,1105.6
946,SH000458,02.12.2019,16:30:00,355.6,42.0,716.0,0.0,1113.6
947,SH000458,02.12.2019,17:00:00,351.6,41.2,708.0,0.0,1100.8
948,SH000458,02.12.2019,17:30:00,351.2,41.2,707.2,0.0,1099.6
949,SH000458,02.12.2019,18:00:00,349.6,41.2,704.8,0.0,1095.6
950,SH000458,02.12.2019,18:30:00,350.0,41.2,704.8,0.0,1096.0
951,SH000458,02.12.2019,19:00:00,350.0,42.0,705.6,0.0,1097.6
952,SH000458,02.12.2019,19:30:00,348.4,40.4,701.6,0.0,1090.4
953,SH000458,02.12.2019,20:00:00,350.8,40.4,706.4,0.0,1097.6
954,SH000458,02.12.2019,20:30:00,350.4,40.4,705.6,0.0,1096.4
955,SH000458,02.12.2019,21:00:00,348.8,39.6,702.4,0.0,1090.8
956,SH000458,02.12.2019,21:30:00,349.6,40.0,704.0,0.0,1093.6
957,SH000458,02.12.2019,22:00:00,346.8,38.8,696.8,0.0,1082.4
958,SH000458,02.12.2019,22:30:00,347.2,39.2,698.4,0.0,1084.8
