SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead,Total
1,SH000198,01.12.2019,00:00:00,358.4,44.8,720.0,0.0,1123.2
2,SH000198,01.12.2019,00:30:00,348.8,44.0,704.0,0.0,1096.8
3,SH000198,01.12.2019,01:00:00,346.4,44.0,699.2,0.0,1089.6
4,SH000198,01.12.2019,01:30:00,343.2,44.0,692.8,0.0,1080.0
5,SH000198,01.12.2019,02:00:00,339.2,43.2,684.8,0.0,1067.1999999999998
6,SH000198,01.12.2019,02:30:00,331.2,43.2,668.8,0.0,1043.1999999999998
7,SH000198,01.12.2019,03:00:00,334.4,43.2,675.2,0.0,1052.8
8,SH000198,01.12.2019,03:30:00,329.6,43.2,665.6,0.0,1038.4
9,SH000198,01.12.2019,04:00:00,330.4,43.2,667.2,0.0,1040.8
10,SH000198,01.12.2019,04:30:00,328.0,43.2,662.4,0.0,1033.6
11,SH000198,01.12.2019,05:00:00,328.0,43.2,662.4,0.0,1033.6
12,SH000198,01.12.2019,05:30:00,331.2,43.2,668.8,0.0,1043.1999999999998
13,SH000198,01.12.2019,06:00:00,334.4,43.2,675.2,0.0,1052.8
14,SH000198,01.12.2019,06:30:00,336.8,42.4,680.0,0.0,1059.2
15,SH000198,01.12.2019,07:00:00,343.2,44.8,691.2,0.0,1079.2
16,SH000198,01.12.2019,07:30:00,341.6,40.0,688.0,0.0,1069.6
17,SH000198,01.12.2019,08:00:00,352.8,44.8,712.0,0.0,1109.6
18,SH000198,01.12.2019,08:30:00,355.2,44.8,716.8,0.0,1116.8
19,SH000198,01.12.2019,09:00:00,359.2,48.0,724.8,0.0,1132.0
20,SH000198,01.12.2019,09:30:00,357.6,48.0,721.6,0.0,1127.2
21,SH000198,01.12.2019,10:00:00,355.2,45.6,716.8,0.0,1117.6
22,SH000198,01.12.2019,10:30:00,345.6,40.0,696.0,0.0,1081.6
23,SH000198,01.12.2019,11:00:00,353.6,45.6,712.0,0.0,1111.2
24,SH000198,01.12.2019,11:30:00,355.2,45.6,715.2,0.0,1116.0
25,SH000198,01.12.2019,12:00:00,347.2,40.8,700.8,0.0,1088.8
26,SH000198,01.12.2019,12:30:00,359.2,48.0,724.8,0.0,1132.0
27,SH000198,01.12.2019,13:00:00,358.4,48.0,723.2,0.0,1129.6
28,SH000198,01.12.2019,13:30:00,358.4,48.8,723.2,0.0,1130.4
29,SH000198,01.12.2019,14:00:00,360.8,49.6,728.0,0.0,1138.4
30,SH000198,01.12.2019,14:30:00,358.4,48.0,723.2,0.0,1129.6
31,SH000198,01.12.2019,15:00:00,358.4,49.6,724.8,0.0,1132.8
32,SH000198,01.12.2019,15:30:00,352.0,44.0,710.4,0.0,1106.4
33,SH000198,01.12.2019,16:00:00,356.8,49.6,720.0,0.0,1126.4
34,SH000198,01.12.2019,16:30:00,355.2,49.6,716.8,0.0,1121.6
35,SH000198,01.12.2019,17:00:00,354.4,48.8,715.2,0.0,1118.4
36,SH000198,01.12.2019,17:30:00,348.8,44.0,702.4,0.0,1095.2
37,SH000198,01.12.2019,18:00:00,352.0,44.0,708.8,0.0,1104.8
38,SH000198,01.12.2019,18:30:00,356.0,48.0,720.0,0.0,1124.0
39,SH000198,01.12.2019,19:00:00,357.6,48.0,721.6,0.0,1127.2
40,SH000198,01.12.2019,19:30:00,356.0,48.0,718.4,0.0,1122.4
41,SH000198,01.12.2019,20:00:00,355.2,44.0,715.2,0.0,1114.4
42,SH000198,01.12.2019,20:30:00,358.4,48.8,723.2,0.0,1130.4
43,SH000198,01.12.2019,21:00:00,346.4,38.4,696.0,0.0,1080.8
44,SH000198,01.12.2019,21:30:00,357.6,43.2,720.0,0.0,1120.8
45,SH000198,01.12.2019,22:00:00,345.6,34.4,696.0,0.0,1076.0
46,SH000198,01.12.2019,22:30:00,352.8,40.8,712.0,0.0,1105.6
47,SH000198,01.12.2019,23:00:00,354.4,43.2,713.6,0.0,1111.2
48,SH000198,01.12.2019,23:30:00,351.2,43.2,705.6,0.0,1100.0
49,SH000198,02.12.2019,00:00:00,346.4,43.2,697.6,0.0,1087.2
