SR.No.,Device No.,Date,Time,kWh,kVARH Lag,kVA,kVARH Lead,Total
1729,SH000269,01.12.2019,00:00:00,344.8,45.2,695.2,0.0,1085.2
1730,SH000269,01.12.2019,00:30:00,340.4,44.8,687.2,0.0,1072.4
1731,SH000269,01.12.2019,01:00:00,334.8,43.2,676.0,0.0,1054.0
1732,SH000269,01.12.2019,01:30:00,335.2,44.8,676.8,0.0,1056.8
1733,SH000269,01.12.2019,02:00:00,336.0,45.2,678.4,0.0,1059.6
1734,SH000269,01.12.2019,02:30:00,333.6,45.6,673.6,0.0,1052.8000000000002
1735,SH000269,01.12.2019,03:00:00,334.4,45.2,675.2,0.0,1054.8
1736,SH000269,01.12.2019,03:30:00,334.0,45.6,674.4,0.0,1054.0
1737,SH000269,01.12.2019,04:00:00,333.2,45.2,672.8,0.0,1051.1999999999998
1738,SH000269,01.12.2019,04:30:00,331.6,45.6,669.6,0.0,1046.8000000000002
1739,SH000269,01.12.2019,05:00:00,332.8,45.6,672.0,0.0,1050.4
1740,SH000269,01.12.2019,05:30:00,332.0,45.2,670.4,0.0,1047.6
1741,SH000269,01.12.2019,06:00:00,333.6,44.4,672.8,0.0,1050.8
1742,SH000269,01.12.2019,06:30:00,335.2,45.2,676.8,0.0,1057.1999999999998
1743,SH000269,01.12.2019,07:00:00,337.2,45.2,680.8,0.0,1063.1999999999998
1744,SH000269,01.12.2019,07:30:00,340.0,45.2,684.8,0.0,1070.0
1745,SH000269,01.12.2019,08:00:00,345.6,46.8,697.6,0.0,1090.0
1746,SH000269,01.12.2019,08:30:00,343.6,45.6,692.8,0.0,1082.0
1747,SH000269,01.12.2019,09:00:00,352.0,50.4,710.4,0.0,1112.8
1748,SH000269,01.12.2019,09:30:00,356.0,50.4,718.4,0.0,1124.8
1749,SH000269,01.12.2019,10:00:00,356.0,49.6,719.2,0.0,1124.8000000000002
1750,SH000269,01.12.2019,10:30:00,367.2,52.0,740.8,0.0,1160.0
1751,SH000269,01.12.2019,11:00:00,370.0,52.0,747.2,0.0,1169.2
1752,SH000269,01.12.2019,11:30:00,371.6,52.8,749.6,0.0,1174.0
1753,SH000269,01.12.2019,12:00:00,375.6,44.4,757.6,0.0,1177.6
1754,SH000269,01.12.2019,12:30:00,380.0,45.2,765.6,0.0,1190.8
1755,SH000269,01.12.2019,13:00:00,374.4,39.2,753.6,0.0,1167.2
1756,SH000269,01.12.2019,13:30:00,382.8,48.0,772.0,0.0,1202.8
1757,SH000269,01.12.2019,14:00:00,372.8,39.6,749.6,0.0,1162.0
1758,SH000269,01.12.2019,14:30:00,381.6,46.4,769.6,0.0,1197.6
1759,SH000269,01.12.2019,15:00:00,369.6,33.2,742.4,0.0,1145.2
1760,SH000269,01.12.2019,15:30:00,373.6,32.8,750.4,0.0,1156.8
1761,SH000269,01.12.2019,16:00:00,373.2,33.2,749.6,0.0,1156.0
1762,SH000269,01.12.2019,16:30:00,372.4,33.6,748.0,0.0,1154.0
1763,SH000269,01.12.2019,17:00:00,371.6,33.2,746.4,0.0,1151.2
1764,SH000269,01.12.2019,17:30:00,375.2,41.6,756.0,0.0,1172.8
1765,SH000269,01.12.2019,18:00:00,371.6,33.6,746.4,0.0,1151.6
1766,SH000269,01.12.2019,18:30:00,371.6,32.4,746.4,0.0,1150.4
1767,SH000269,01.12.2019,19:00:00,371.2,32.8,745.6,0.0,1149.6
1768,SH000269,01.12.2019,19:30:00,371.6,33.2,745.6,0.0,1150.4
1769,SH000269,01.12.2019,20:00:00,372.0,33.2,747.2,0.0,1152.4
1770,SH000269,01.12.2019,20:30:00,372.0,33.6,747.2,0.0,1152.8000000000002
1771,SH000269,01.12.2019,21:00:00,368.4,32.8,740.0,0.0,1141.2
1772,SH000269,01.12.2019,21:30:00,370.4,31.6,744.0,0.0,1146.0
1773,SH000269,01.12.2019,22:00:00,368.0,29.6,738.4,0.0,1136.0
1774,SH000269,01.12.2019,22:30:00,365.6,28.8,734.4,0.0,1128.8
1775,SH000269,01.12.2019,23:00:00,365.6,29.6,734.4,0.0,1129.6
1776,SH000269,01.12.2019,23:30:00,361.6,28.4,726.4,0.0,1116.4
1777,SH000269,02.12.2019,00:00:00,360.4,28.4,723.2,0.0,1112.0
1778,SH000269,02.12.2019,00:30:00,358.8,28.8,720.0,0.0,1107.6
1779,SH000269,02.12.2019,01:00:00,354.4,28.0,710.4,0.0,1092.8
1780,SH000269,02.12.2019,01:30:00,356.4,29.6,716.0,0.0,1102.0
1781,SH000269,02.12.2019,02:00:00,349.6,28.4,702.4,0.0,1080.4
1782,SH000269,02.12.2019,02:30:00,347.6,27.6,697.6,0.0,1072.8000000000002
